Symbol,Name,Sector,industry,instrument,path
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals,S1000462,./yhoo_data/S1000462.csv
ARR^A,"ARMOUR Residential REIT, Inc.",n/a,n/a,S1000463,./yhoo_data/S1000463.csv
ARR^B,"ARMOUR Residential REIT, Inc.",n/a,n/a,S1000464,./yhoo_data/S1000464.csv
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply,S1000465,./yhoo_data/S1000465.csv
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components,S1000466,./yhoo_data/S1000466.csv
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,S1000467,./yhoo_data/S1000467.csv
ARU,Ares Capital Corporation,n/a,n/a,S1000468,./yhoo_data/S1000468.csv
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components,S1000469,./yhoo_data/S1000469.csv
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000470,./yhoo_data/S1000470.csv
ASA,ASA Gold and Precious Metals Limited,n/a,n/a,S1000471,./yhoo_data/S1000471.csv
ASB,Associated Banc-Corp,Finance,Major Banks,S1000472,./yhoo_data/S1000472.csv
ASB.WS,Associated Banc-Corp,n/a,n/a,S1000473,./yhoo_data/S1000473.csv
ASBB,"ASB Bancorp, Inc.",Finance,Savings Institutions,S1000474,./yhoo_data/S1000474.csv
ASB^C,Associated Banc-Corp,n/a,n/a,S1000475,./yhoo_data/S1000475.csv
ASB^D,Associated Banc-Corp,n/a,n/a,S1000476,./yhoo_data/S1000476.csv
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,S1000477,./yhoo_data/S1000477.csv
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services,S1000478,./yhoo_data/S1000478.csv
ASET,FlexShares Real Assets Allocation Index Fund,n/a,n/a,S1000479,./yhoo_data/S1000479.csv
ASFI,"Asta Funding, Inc.",Finance,Finance Companies,S1000480,./yhoo_data/S1000480.csv
ASG,"Liberty All-Star Growth Fund, Inc.",n/a,n/a,S1000481,./yhoo_data/S1000481.csv
ASGN,"On Assignment, Inc.",Technology,Professional Services,S1000482,./yhoo_data/S1000482.csv
ASH,Ashland Global Holdings Inc.,Consumer Durables,Specialty Chemicals,S1000483,./yhoo_data/S1000483.csv
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,S1000484,./yhoo_data/S1000484.csv
ASM,Avino Silver,Basic Industries,Precious Metals,S1000485,./yhoo_data/S1000485.csv
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals,S1000486,./yhoo_data/S1000486.csv
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components,S1000487,./yhoo_data/S1000487.csv
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,S1000488,./yhoo_data/S1000488.csv
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals,S1000489,./yhoo_data/S1000489.csv
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials,S1000490,./yhoo_data/S1000490.csv
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,S1000491,./yhoo_data/S1000491.csv
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",Transportation,Aerospace,S1000492,./yhoo_data/S1000492.csv
ASRV,AmeriServ Financial Inc.,Finance,Major Banks,S1000493,./yhoo_data/S1000493.csv
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks,S1000494,./yhoo_data/S1000494.csv
AST,"Asterias Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000495,./yhoo_data/S1000495.csv
AST.WS,"Asterias Biotherapeutics, Inc.",n/a,n/a,S1000496,./yhoo_data/S1000496.csv
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical,S1000497,./yhoo_data/S1000497.csv
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,S1000498,./yhoo_data/S1000498.csv
ASUR,Asure Software Inc,Technology,EDP Services,S1000499,./yhoo_data/S1000499.csv
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors,S1000500,./yhoo_data/S1000500.csv
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components,S1000501,./yhoo_data/S1000501.csv
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central,S1000502,./yhoo_data/S1000502.csv
ATAI,ATA Inc.,Consumer Services,Other Consumer Services,S1000503,./yhoo_data/S1000503.csv
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,S1000504,./yhoo_data/S1000504.csv
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,S1000505,./yhoo_data/S1000505.csv
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,S1000506,./yhoo_data/S1000506.csv
ATEST,NASDAQ TEST STOCK,n/a,n/a,S1000507,./yhoo_data/S1000507.csv
ATEST.A,NASDAQ TEST STOCK,n/a,n/a,S1000508,./yhoo_data/S1000508.csv
ATEST.B,NASDAQ TEST STOCK,n/a,n/a,S1000509,./yhoo_data/S1000509.csv
ATEST.C,NASDAQ TEST STOCK,n/a,n/a,S1000510,./yhoo_data/S1000510.csv
ATH,Athene Holding Ltd.,Finance,Life Insurance,S1000511,./yhoo_data/S1000511.csv
ATHM,Autohome Inc.,Technology,EDP Services,S1000512,./yhoo_data/S1000512.csv
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services,S1000513,./yhoo_data/S1000513.csv
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals,S1000514,./yhoo_data/S1000514.csv
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,S1000515,./yhoo_data/S1000515.csv
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components,S1000516,./yhoo_data/S1000516.csv
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services,S1000517,./yhoo_data/S1000517.csv
ATLO,Ames National Corporation,Finance,Major Banks,S1000518,./yhoo_data/S1000518.csv
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment,S1000519,./yhoo_data/S1000519.csv
ATNM,"Actinium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000520,./yhoo_data/S1000520.csv
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission,S1000521,./yhoo_data/S1000521.csv
ATOM,Atomera Incorporated,Technology,Semiconductors,S1000522,./yhoo_data/S1000522.csv
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments,S1000523,./yhoo_data/S1000523.csv
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,S1000524,./yhoo_data/S1000524.csv
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000525,./yhoo_data/S1000525.csv
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments,S1000526,./yhoo_data/S1000526.csv
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments,S1000527,./yhoo_data/S1000527.csv
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical,S1000528,./yhoo_data/S1000528.csv
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,S1000529,./yhoo_data/S1000529.csv
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,S1000530,./yhoo_data/S1000530.csv
ATTO,Atento S.A.,Public Utilities,Telecommunications Equipment,S1000531,./yhoo_data/S1000531.csv
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software,S1000532,./yhoo_data/S1000532.csv
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,S1000533,./yhoo_data/S1000533.csv
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,S1000534,./yhoo_data/S1000534.csv
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,S1000535,./yhoo_data/S1000535.csv
ATW,"Atwood Oceanics, Inc.",Energy,Oil & Gas Production,S1000536,./yhoo_data/S1000536.csv
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,S1000537,./yhoo_data/S1000537.csv
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks,S1000538,./yhoo_data/S1000538.csv
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment,S1000539,./yhoo_data/S1000539.csv
AUMN,Golden Minerals Company,Basic Industries,Precious Metals,S1000540,./yhoo_data/S1000540.csv
AUO,AU Optronics Corp,Technology,Semiconductors,S1000541,./yhoo_data/S1000541.csv
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals,S1000542,./yhoo_data/S1000542.csv
AUXO,"Auxilio, Inc.",Miscellaneous,Business Services,S1000543,./yhoo_data/S1000543.csv
AUY,Yamana Gold Inc.,Basic Industries,Precious Metals,S1000544,./yhoo_data/S1000544.csv
AVA,Avista Corporation,Public Utilities,Power Generation,S1000545,./yhoo_data/S1000545.csv
AVAL,Grupo Aval Acciones y Valores S.A.,Finance,Commercial Banks,S1000546,./yhoo_data/S1000546.csv
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,S1000547,./yhoo_data/S1000547.csv
AVB,"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts,S1000548,./yhoo_data/S1000548.csv
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,S1000549,./yhoo_data/S1000549.csv
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals,S1000550,./yhoo_data/S1000550.csv
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,S1000551,./yhoo_data/S1000551.csv
AVGO,Broadcom Limited,Technology,Semiconductors,S1000552,./yhoo_data/S1000552.csv
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments,S1000553,./yhoo_data/S1000553.csv
AVH,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services,S1000554,./yhoo_data/S1000554.csv
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,S1000555,./yhoo_data/S1000555.csv
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,S1000556,./yhoo_data/S1000556.csv
AVIR,"Aviragen Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000557,./yhoo_data/S1000557.csv
AVK,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,S1000558,./yhoo_data/S1000558.csv
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,S1000559,./yhoo_data/S1000559.csv
AVP,"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,S1000560,./yhoo_data/S1000560.csv
AVT,"Avnet, Inc.",Consumer Non-Durables,Electronic Components,S1000561,./yhoo_data/S1000561.csv
AVX,AVX Corporation,Capital Goods,Electrical Products,S1000562,./yhoo_data/S1000562.csv
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,S1000563,./yhoo_data/S1000563.csv
AVXS,"AveXis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000564,./yhoo_data/S1000564.csv
AVY,Avery Dennison Corporation,Consumer Durables,Containers/Packaging,S1000565,./yhoo_data/S1000565.csv
AWF,Alliance World Dollar Government Fund II,n/a,n/a,S1000566,./yhoo_data/S1000566.csv
AWH,"Allied World Assurance Company Holdings, AG",Finance,Property-Casualty Insurers,S1000567,./yhoo_data/S1000567.csv
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,S1000568,./yhoo_data/S1000568.csv
AWK,American Water Works,Public Utilities,Water Supply,S1000569,./yhoo_data/S1000569.csv
AWP,Alpine Global Premier Properties Fund,n/a,n/a,S1000570,./yhoo_data/S1000570.csv
AWR,American States Water Company,Public Utilities,Water Supply,S1000571,./yhoo_data/S1000571.csv
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,S1000572,./yhoo_data/S1000572.csv
AWX,Avalon Holdings Corporation,Public Utilities,Environmental Services,S1000573,./yhoo_data/S1000573.csv
AXAR,Axar Acquisition Corp.,Finance,Business Services,S1000574,./yhoo_data/S1000574.csv
AXARU,Axar Acquisition Corp.,Finance,Business Services,S1000575,./yhoo_data/S1000575.csv
AXARW,Axar Acquisition Corp.,Finance,Business Services,S1000576,./yhoo_data/S1000576.csv
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,S1000577,./yhoo_data/S1000577.csv
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,S1000578,./yhoo_data/S1000578.csv
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,S1000579,./yhoo_data/S1000579.csv
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,S1000580,./yhoo_data/S1000580.csv
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,S1000581,./yhoo_data/S1000581.csv
AXN,"Aoxing Pharmaceutical Company, Inc.",Health Care,Major Pharmaceuticals,S1000582,./yhoo_data/S1000582.csv
AXON          ,Axovant Sciences Ltd.,Health Care,Major Pharmaceuticals,S1000583,./yhoo_data/S1000583.csv
AXP,American Express Company,Finance,Finance: Consumer Services,S1000584,./yhoo_data/S1000584.csv
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,S1000585,./yhoo_data/S1000585.csv
AXS,Axis Capital Holdings Limited,Finance,Property-Casualty Insurers,S1000586,./yhoo_data/S1000586.csv
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals,S1000587,./yhoo_data/S1000587.csv
AXS^D,Axis Capital Holdings Limited,n/a,n/a,S1000588,./yhoo_data/S1000588.csv
AXS^E,Axis Capital Holdings Limited,n/a,n/a,S1000589,./yhoo_data/S1000589.csv
AXTA,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings,S1000590,./yhoo_data/S1000590.csv
AXTI,AXT Inc,Technology,Semiconductors,S1000591,./yhoo_data/S1000591.csv
AXU,Alexco Resource Corp,Basic Industries,Precious Metals,S1000592,./yhoo_data/S1000592.csv
AYA,Amaya Inc.,Technology,"Computer Software: Programming, Data Processing",S1000593,./yhoo_data/S1000593.csv
AYI,Acuity Brands Inc,Consumer Durables,Building Products,S1000594,./yhoo_data/S1000594.csv
AYR,Aircastle Limited,Technology,Diversified Commercial Services,S1000595,./yhoo_data/S1000595.csv
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software,S1000596,./yhoo_data/S1000596.csv
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals,S1000597,./yhoo_data/S1000597.csv
AZO,"AutoZone, Inc.",Consumer Services,Other Specialty Stores,S1000598,./yhoo_data/S1000598.csv
AZPN,"Aspen Technology, Inc.",Technology,EDP Services,S1000599,./yhoo_data/S1000599.csv
AZRE,Azure Power Global Limited,Public Utilities,Electric Utilities: Central,S1000600,./yhoo_data/S1000600.csv
AZRX,"AzurRx BioPharma, Inc.",n/a,n/a,S1000601,./yhoo_data/S1000601.csv
AZUL,Azul S.A.,Transportation,Air Freight/Delivery Services,S1000602,./yhoo_data/S1000602.csv
AZZ,AZZ Inc.,Consumer Durables,Building Products,S1000603,./yhoo_data/S1000603.csv
B,"Barnes Group, Inc.",Capital Goods,Metal Fabrications,S1000604,./yhoo_data/S1000604.csv
BA,Boeing Company (The),Capital Goods,Aerospace,S1000605,./yhoo_data/S1000605.csv
BAA,BANRO CORPORATION,Basic Industries,Precious Metals,S1000606,./yhoo_data/S1000606.csv
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,S1000607,./yhoo_data/S1000607.csv
BABY,Natus Medical Incorporated,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,S1000608,./yhoo_data/S1000608.csv
BAC,Bank of America Corporation,Finance,Major Banks,S1000609,./yhoo_data/S1000609.csv
BAC.WS.A,Bank of America Corporation,n/a,n/a,S1000610,./yhoo_data/S1000610.csv
BAC.WS.B,Bank of America Corporation,n/a,n/a,S1000611,./yhoo_data/S1000611.csv
BAC^A,Bank of America Corporation,n/a,n/a,S1000612,./yhoo_data/S1000612.csv
BAC^C,Bank of America Corporation,n/a,n/a,S1000613,./yhoo_data/S1000613.csv
BAC^D,Bank of America Corporation,n/a,n/a,S1000614,./yhoo_data/S1000614.csv
BAC^E,Bank of America Corporation,n/a,n/a,S1000615,./yhoo_data/S1000615.csv
BAC^I,Bank of America Corporation,n/a,n/a,S1000616,./yhoo_data/S1000616.csv
BAC^L,Bank of America Corporation,n/a,n/a,S1000617,./yhoo_data/S1000617.csv
BAC^W,Bank of America Corporation,Finance,Major Banks,S1000618,./yhoo_data/S1000618.csv
BAC^Y,Bank of America Corporation,Finance,Major Banks,S1000619,./yhoo_data/S1000619.csv
BAF,BlackRock Income Investment Quality Trust,n/a,n/a,S1000620,./yhoo_data/S1000620.csv
BAH,Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services,S1000621,./yhoo_data/S1000621.csv
BAK,Braskem S.A.,Basic Industries,Major Chemicals,S1000622,./yhoo_data/S1000622.csv
BAM,Brookfield Asset Management Inc,Consumer Services,Building operators,S1000623,./yhoo_data/S1000623.csv
BANC,"Banc of California, Inc.",Finance,Major Banks,S1000624,./yhoo_data/S1000624.csv
BANC^C,"Banc of California, Inc.",n/a,n/a,S1000625,./yhoo_data/S1000625.csv
BANC^D,"Banc of California, Inc.",n/a,n/a,S1000626,./yhoo_data/S1000626.csv
BANC^E,"Banc of California, Inc.",n/a,n/a,S1000627,./yhoo_data/S1000627.csv
BANF,BancFirst Corporation,Finance,Major Banks,S1000628,./yhoo_data/S1000628.csv
BANFP,BancFirst Corporation,Finance,Major Banks,S1000629,./yhoo_data/S1000629.csv
BANR,Banner Corporation,Finance,Major Banks,S1000630,./yhoo_data/S1000630.csv
BANX,StoneCastle Financial Corp,n/a,n/a,S1000631,./yhoo_data/S1000631.csv
BAP,Credicorp Ltd.,Finance,Commercial Banks,S1000632,./yhoo_data/S1000632.csv
BAS,"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment,S1000633,./yhoo_data/S1000633.csv
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,S1000634,./yhoo_data/S1000634.csv
BATRA,Liberty Media Corporation,Consumer Services,Broadcasting,S1000635,./yhoo_data/S1000635.csv
BATRK,Liberty Media Corporation,Consumer Services,Broadcasting,S1000636,./yhoo_data/S1000636.csv
BAX,Baxter International Inc.,Health Care,Medical/Dental Instruments,S1000637,./yhoo_data/S1000637.csv
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,S1000638,./yhoo_data/S1000638.csv
BBC,BioShares Biotechnology Clinical Trials Fund,n/a,n/a,S1000639,./yhoo_data/S1000639.csv
BBD,Banco Bradesco Sa,Finance,Major Banks,S1000640,./yhoo_data/S1000640.csv
BBDO,Banco Bradesco Sa,Finance,Major Banks,S1000641,./yhoo_data/S1000641.csv
BBF,BlackRock Municipal Income Investment Trust,n/a,n/a,S1000642,./yhoo_data/S1000642.csv
BBG,Bill Barrett Corporation,Energy,Oil & Gas Production,S1000643,./yhoo_data/S1000643.csv
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting,S1000644,./yhoo_data/S1000644.csv
BBH,VanEck Vectors Biotech ETF,n/a,n/a,S1000645,./yhoo_data/S1000645.csv
BBK,Blackrock Municipal Bond Trust,n/a,n/a,S1000646,./yhoo_data/S1000646.csv
BBL,BHP Billiton plc,Energy,Coal Mining,S1000647,./yhoo_data/S1000647.csv
BBN,BalckRock Taxable Municipal Bond Trust,n/a,n/a,S1000648,./yhoo_data/S1000648.csv
BBOX,Black Box Corporation,Technology,Computer Communications Equipment,S1000649,./yhoo_data/S1000649.csv
BBP,BioShares Biotechnology Products Fund,n/a,n/a,S1000650,./yhoo_data/S1000650.csv
BBRG,"Bravo Brio Restaurant Group, Inc.",Consumer Services,Restaurants,S1000651,./yhoo_data/S1000651.csv
BBRY,BlackBerry Limited,Public Utilities,Telecommunications Equipment,S1000652,./yhoo_data/S1000652.csv
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services,S1000653,./yhoo_data/S1000653.csv
BBT,BB&T Corporation,Finance,Major Banks,S1000654,./yhoo_data/S1000654.csv
BBT^D,BB&T Corporation,n/a,n/a,S1000655,./yhoo_data/S1000655.csv
BBT^E,BB&T Corporation,n/a,n/a,S1000656,./yhoo_data/S1000656.csv
BBT^F,BB&T Corporation,n/a,n/a,S1000657,./yhoo_data/S1000657.csv
BBT^G,BB&T Corporation,n/a,n/a,S1000658,./yhoo_data/S1000658.csv
BBT^H,BB&T Corporation,n/a,n/a,S1000659,./yhoo_data/S1000659.csv
BBU,Brookfield Business Partners L.P.,Basic Industries,Engineering & Construction,S1000660,./yhoo_data/S1000660.csv
BBVA,Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks,S1000661,./yhoo_data/S1000661.csv
BBW,"Build-A-Bear Workshop, Inc.",Consumer Services,Recreational Products/Toys,S1000662,./yhoo_data/S1000662.csv
BBY,"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains,S1000663,./yhoo_data/S1000663.csv
BC,Brunswick Corporation,Energy,Industrial Machinery/Components,S1000664,./yhoo_data/S1000664.csv
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions,S1000665,./yhoo_data/S1000665.csv
BCC,"Boise Cascade, L.L.C.",Consumer Services,RETAIL: Building Materials,S1000666,./yhoo_data/S1000666.csv
BCE,"BCE, Inc.",Public Utilities,Telecommunications Equipment,S1000667,./yhoo_data/S1000667.csv
BCEI,"Bonanza Creek Energy, Inc.",Energy,Oil & Gas Production,S1000668,./yhoo_data/S1000668.csv
BCH,Banco De Chile,Finance,Commercial Banks,S1000669,./yhoo_data/S1000669.csv
BCLI,Brainstorm Cell Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000670,./yhoo_data/S1000670.csv
BCO,Brink&#39;s Company (The),Transportation,Oil Refining/Marketing,S1000671,./yhoo_data/S1000671.csv
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,S1000672,./yhoo_data/S1000672.csv
BCOR,"Blucora, Inc.",Technology,EDP Services,S1000673,./yhoo_data/S1000673.csv
BCOV,Brightcove Inc.,Technology,EDP Services,S1000674,./yhoo_data/S1000674.csv
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,S1000675,./yhoo_data/S1000675.csv
BCR,"C.R. Bard, Inc.",Health Care,Medical/Dental Instruments,S1000676,./yhoo_data/S1000676.csv
BCRH,Blue Capital Reinsurance Holdings Ltd.,Finance,Property-Casualty Insurers,S1000677,./yhoo_data/S1000677.csv
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),S1000678,./yhoo_data/S1000678.csv
BCS,Barclays PLC,Finance,Commercial Banks,S1000679,./yhoo_data/S1000679.csv
BCS^D,Barclays PLC,n/a,n/a,S1000680,./yhoo_data/S1000680.csv
BCTF,"Bancorp 34, Inc.",Finance,Savings Institutions,S1000681,./yhoo_data/S1000681.csv
BCV,Bancroft Fund Limited,n/a,n/a,S1000682,./yhoo_data/S1000682.csv
BCV^A,Bancroft Fund Limited,n/a,n/a,S1000683,./yhoo_data/S1000683.csv
BCX,BlackRock Resources,n/a,n/a,S1000684,./yhoo_data/S1000684.csv
BDC,Belden Inc,Basic Industries,Telecommunications Equipment,S1000685,./yhoo_data/S1000685.csv
BDC^B,Belden Inc,n/a,n/a,S1000686,./yhoo_data/S1000686.csv
BDE,"Black Diamond, Inc.",Consumer Non-Durables,Recreational Products/Toys,S1000687,./yhoo_data/S1000687.csv
BDGE,"Bridge Bancorp, Inc.",Finance,Major Banks,S1000688,./yhoo_data/S1000688.csv
BDJ,Blackrock Enhanced Equity Dividend Trust,n/a,n/a,S1000689,./yhoo_data/S1000689.csv
BDL,"Flanigan&#39;s Enterprises, Inc.",Consumer Services,Restaurants,S1000690,./yhoo_data/S1000690.csv
BDN,Brandywine Realty Trust,Consumer Services,Real Estate Investment Trusts,S1000691,./yhoo_data/S1000691.csv
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,S1000692,./yhoo_data/S1000692.csv
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals,S1000693,./yhoo_data/S1000693.csv
BDX,"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments,S1000694,./yhoo_data/S1000694.csv
BEAT,"BioTelemetry, Inc.",Health Care,Medical Specialities,S1000695,./yhoo_data/S1000695.csv
BEBE,"bebe stores, inc.",Consumer Non-Durables,Apparel,S1000696,./yhoo_data/S1000696.csv
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials,S1000697,./yhoo_data/S1000697.csv
BEL,Belmond Ltd.,Consumer Services,Hotels/Resorts,S1000698,./yhoo_data/S1000698.csv
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products,S1000699,./yhoo_data/S1000699.csv
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products,S1000700,./yhoo_data/S1000700.csv
BEN,"Franklin Resources, Inc.",Finance,Investment Managers,S1000701,./yhoo_data/S1000701.csv
BEP,Brookfield Renewable Partners L.P.,Public Utilities,Electric Utilities: Central,S1000702,./yhoo_data/S1000702.csv
BERY,"Berry Global Group, Inc.",Consumer Non-Durables,Plastic Products,S1000703,./yhoo_data/S1000703.csv
BETR,"Amplify Snack Brands, inc.",Consumer Non-Durables,Packaged Foods,S1000704,./yhoo_data/S1000704.csv
BF.A,Brown Forman Corporation,n/a,n/a,S1000705,./yhoo_data/S1000705.csv
BF.B,Brown Forman Corporation,n/a,n/a,S1000706,./yhoo_data/S1000706.csv
BFAM,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services,S1000707,./yhoo_data/S1000707.csv
BFIN,BankFinancial Corporation,Finance,Savings Institutions,S1000708,./yhoo_data/S1000708.csv
BFIT,Global X Health & Wellness Thematic ETF,n/a,n/a,S1000709,./yhoo_data/S1000709.csv
BFK,BlackRock Municipal Income Trust,n/a,n/a,S1000710,./yhoo_data/S1000710.csv
BFO,Blackrock Florida Municipal 2020 Term Trust,n/a,n/a,S1000711,./yhoo_data/S1000711.csv
BFR,BBVA Banco Frances S.A.,Finance,Commercial Banks,S1000712,./yhoo_data/S1000712.csv
BFS,"Saul Centers, Inc.",Consumer Services,Real Estate Investment Trusts,S1000713,./yhoo_data/S1000713.csv
BFS^C,"Saul Centers, Inc.",n/a,n/a,S1000714,./yhoo_data/S1000714.csv
BFY,BlackRock New York Municipal Income Trust II,n/a,n/a,S1000715,./yhoo_data/S1000715.csv
BFZ,BlackRock California Municipal Income Trust,n/a,n/a,S1000716,./yhoo_data/S1000716.csv
BG,Bunge Limited,Consumer Non-Durables,Packaged Foods,S1000717,./yhoo_data/S1000717.csv
BGB,Blackstone / GSO Strategic Credit Fund,n/a,n/a,S1000718,./yhoo_data/S1000718.csv
BGC,General Cable Corporation,Basic Industries,Telecommunications Equipment,S1000719,./yhoo_data/S1000719.csv
BGCA,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,S1000720,./yhoo_data/S1000720.csv
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,S1000721,./yhoo_data/S1000721.csv
BGE^B,Baltimore Gas & Electric Company,n/a,n/a,S1000722,./yhoo_data/S1000722.csv
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores,S1000723,./yhoo_data/S1000723.csv
